N    Z    A    Elt.   Mass                        
 30   28   58 Ni     57935341.650       0.374
 29   29   58 Cu     57944532.283       0.604
 28   30   58 Zn     57954590.296      53.678
 27   31   58 Ga     57974729#        322#
 26   32   58 Ge     57991863#        537#
 40   19   59 K      59030864#        859#
 39   20   59 Ca     59006237#        644#
 38   21   59 Sc     58988374.000     268.000
 37   22   59 Ti     58972217#        322#
 36   23   59 V      58959623.343     147.505
 35   24   59 Cr     58948345.426       0.720
 34   25   59 Mn     58940391.111       2.500
 33   26   59 Fe     58934873.492       0.354
 32   27   59 Co     58933193.524       0.426
 31   28   59 Ni     58934345.442       0.376
 30   29   59 Cu     58939496.713       0.566
 29   30   59 Zn     58949311.886       0.814
 28   31   59 Ga     58963757#        183#
 27   32   59 Ge     58982426#        429#
 40   20   60 Ca     60011809#        751#
 39   21   60 Sc     59995115#        537#
 38   22   60 Ti     59976275.000     258.000
 37   23   60 V      59964479.215     195.327
 36   24   60 Cr     59949641.656       1.200
 35   25   60 Mn     59943136.574       2.500
 34   26   60 Fe     59934070.249       3.656
 33   27   60 Co     59933815.536       0.433
 32   28   60 Ni     59930785.129       0.378
 31   29   60 Cu     59937363.787       1.731
 30   30   60 Zn     59941841.317       0.588
 29   31   60 Ga     59957498#        215#
 28   32   60 Ge     59970445#        322#
 27   33   60 As     59993945#        429#
 41   20   61 Ca     61020408#        859#
 40   21   61 Sc     61000537#        644#
 39   22   61 Ti     60982426#        322#
 38   23   61 V      60967603.529     252.196
 37   24   61 Cr     60954378.130       2.000
 36   25   61 Mn     60944452.541       2.500
 35   26   61 Fe     60936746.241       2.800
 34   27   61 Co     60932476.031       0.901
 33   28   61 Ni     60931054.819       0.381
 32   29   61 Cu     60933457.375       1.020
 31   30   61 Zn     60939506.964      17.068
 30   31   61 Ga     60949398.861      40.787
 29   32   61 Ge     60963725#        322#
 28   33   61 As     60981535#        322#
 41   21   62 Sc     62007848#        644#
 40   22   62 Ti     61986903#        429#
 39   23   62 V      61972932.556     283.723
 38   24   62 Cr     61956142.920       3.700
