N    Z    A    Elt.   Mass                        
127   78  205 Pt    204986237#        322#
126   79  205 Au    204980064#        215#
125   80  205 Hg    204976073.151       3.923
124   81  205 Tl    204974427.318       1.330
123   82  205 Pb    204974481.682       1.228
122   83  205 Bi    204977385.182       5.161
121   84  205 Po    204981190.006      10.798
120   85  205 At    204986060.546      12.941
119   86  205 Rn    204991723.228       5.453
118   87  205 Fr    204998593.854       8.399
117   88  205 Ra    205006230.692      24.446
116   89  205 Ac    205015144.152      63.682
128   78  206 Pt    205990080#        322#
127   79  206 Au    205984766#        322#
126   80  206 Hg    205977513.837      21.943
125   81  206 Tl    205976110.108       1.380
124   82  206 Pb    205974465.210       1.228
123   83  206 Bi    205978498.843       8.193
122   84  206 Po    205980473.662       4.306
121   85  206 At    205986645.768      14.523
120   86  206 Rn    205990195.409       9.223
119   87  206 Fr    205998661.441      29.856
118   88  206 Ra    206003827.842      19.332
117   89  206 Ac    206014476.477      69.874
129   78  207 Pt    206995556#        429#
128   79  207 Au    206988577#        322#
127   80  207 Hg    206982300.000      32.000
126   81  207 Tl    206977418.605       5.839
125   82  207 Pb    206975896.821       1.231
124   83  207 Bi    206978470.551       2.573
123   84  207 Po    206981593.334       7.148
122   85  207 At    206985799.715      13.318
121   86  207 Rn    206990730.224       5.090
120   87  207 Fr    206996941.450      18.847
119   88  207 Ra    207003772.420      62.572
118   89  207 Ac    207011965.967      60.384
130   78  208 Pt    207999463#        429#
129   79  208 Au    207993655#        322#
128   80  208 Hg    207985759.000      33.000
127   81  208 Tl    207982018.006       1.989
126   82  208 Pb    207976652.005       1.232
125   83  208 Bi    207979742.060       2.474
124   84  208 Po    207981246.035       1.795
123   85  208 At    207986613.011       9.577
122   86  208 Rn    207989634.513      10.910
121   87  208 Fr    207997139.082      12.514
120   88  208 Ra    208001855.012       9.686
119   89  208 Ac    208011552.251      69.225
118   90  208 Th    208017915.348      34.208
130   79  209 Au    208997606#        429#
129   80  209 Hg    208990757#        161#
128   81  209 Tl    208985351.713       6.559
127   82  209 Pb    208981089.978       1.875
126   83  209 Bi    208980398.599       1.465
125   84  209 Po    208982430.361       1.909
124   85  209 At    208986168.701       5.094
123   86  209 Rn    208990401.389      10.692
122   87  209 Fr    208995939.701      12.349
121   88  209 Ra    209001994.902       6.169
120   89  209 Ac    209009495.375      59.953
119   90  209 Th    209017601#        111#
131   79  210 Au    210002877#        429#
130   80  210 Hg    209994310#        215#
129   81  210 Tl    209990072.942      12.456
128   82  210 Pb    209984188.381       1.554
127   83  210 Bi    209984120.237       1.463
126   84  210 Po    209982873.686       1.230
125   85  210 At    209987147.423       8.261
124   86  210 Rn    209989688.862       4.892
123   87  210 Fr    209996410.596      14.407
122   88  210 Ra    210000475.406       9.868
121   89  210 Ac    210009408.625      66.782
120   90  210 Th    210015093.515      20.299
131   80  211 Hg    210999581#        215#
130   81  211 Tl    210993475.000      45.000
129   82  211 Pb    210988735.288       2.426
128   83  211 Bi    210987268.715       5.842
127   84  211 Po    210986653.171       1.347
126   85  211 At    210987496.226       2.929
125   86  211 Rn    210990600.767       7.314
124   87  211 Fr    210995555.189      12.872
123   88  211 Ra    211000893.049       5.331
122   89  211 Ac    211007668.846      57.706
121   90  211 Th    211014896.923      92.399
120   91  211 Pa    211023674.036      74.581
132   80  212 Hg    212003242#        322#
131   81  212 Tl    211998335#        215#
130   82  212 Pb    211991895.891       1.975
129   83  212 Bi    211991285.030       1.989
128   84  212 Po    211988867.982       1.237
127   85  212 At    211990737.301       2.559
126   86  212 Rn    211990703.946       3.338
125   87  212 Fr    211996225.420       9.419
124   88  212 Ra    211999786.619      11.007
123   89  212 Ac    212007836.442      23.492
122   90  212 Th    212013001.570      10.852
121   91  212 Pa    212023184.819      94.047
133   80  213 Hg    213008803#        322#
132   81  213 Tl    213001915.000      29.000
131   82  213 Pb    212996560.796       7.465
130   83  213 Bi    212994383.570       5.455
129   84  213 Po    212992857.154       3.277
128   85  213 At    212992936.593       5.258
127   86  213 Rn    212993885.147       3.618
126   87  213 Fr    212996184.410       5.053
125   88  213 Ra    213000370.971      10.540
124   89  213 Ac    213006592.665      12.522
123   90  213 Th    213013011.470       9.895
122   91  213 Pa    213021099.644      61.374
134   80  214 Hg    214012636#        429#
133   81  214 Tl    214006940#        210#
132   82  214 Pb    213999803.521       2.114
131   83  214 Bi    213998710.909      12.033
130   84  214 Po    213995201.287       1.556
129   85  214 At    213996372.331       4.274
128   86  214 Rn    213995362.650       9.862
127   87  214 Fr    213998971.193       9.145
126   88  214 Ra    214000099.560       5.636
125   89  214 Ac    214006906.400      14.547
124   90  214 Th    214011481.480      11.445
123   91  214 Pa    214020891.055      87.180
135   80  215 Hg    215018368#        429#
134   81  215 Tl    215010768#        322#
133   82  215 Pb    215004661.591      56.560
132   83  215 Bi    215001749.095       6.037
131   84  215 Po    214999418.385       2.276
130   85  215 At    214998651.002       7.116
129   86  215 Rn    214998745.037       6.538
128   87  215 Fr    215000341.534       7.585
127   88  215 Ra    215002718.208       7.730
126   89  215 Ac    215006474.061      13.318
125   90  215 Th    215011724.640       6.800
124   91  215 Pa    215019113.955      88.513
123   92  215 U     215026719.774     111.794
136   80  216 Hg    216022459#        429#
135   81  216 Tl    216015964#        322#
134   82  216 Pb    216008062#        215#
133   83  216 Bi    216006305.985      12.000
132   84  216 Po    216001913.416       1.948
131   85  216 At    216002422.643       3.837
130   86  216 Rn    216000271.942       6.192
129   87  216 Fr    216003189.523       4.480
128   88  216 Ra    216003533.534       8.592
127   89  216 Ac    216008749.101       9.908
126   90  216 Th    216011055.933      11.920
125   91  216 Pa    216019134.633      26.459
124   92  216 U     216024762.829      30.158
136   81  217 Tl    217020032#        429#
135   82  217 Pb    217013162#        322#
134   83  217 Bi    217009372.000      19.000
133   84  217 Po    217006316.145       7.025
132   85  217 At    217004717.794       5.368
131   86  217 Rn    217003927.632       4.506
130   87  217 Fr    217004631.980       7.011
129   88  217 Ra    217006322.676       7.564
128   89  217 Ac    217009342.325      12.048
127   90  217 Th    217013103.443      11.394
126   91  217 Pa    217018309.024      13.417
125   92  217 U     217024660#         86#
137   81  218 Tl    218025454#        429#
136   82  218 Pb    218016779#        322#
135   83  218 Bi    218014188.000      29.000
134   84  218 Po    218008971.234       2.112
133   85  218 At    218008695.941      12.349
132   86  218 Rn    218005601.123       2.486
131   87  218 Fr    218007578.620       4.546
130   88  218 Ra    218007134.297      10.528
129   89  218 Ac    218011648.860      61.853
128   90  218 Th    218013276.248      11.289
127   91  218 Pa    218020021.133      19.158
126   92  218 U     218023504.877      14.722
137   82  219 Pb    219022136#        429#
136   83  219 Bi    219017520#        215#
135   84  219 Po    219013614.000      17.000
134   85  219 At    219011160.587       3.474
133   86  219 Rn    219009478.683       2.254
132   87  219 Fr    219009250.664       7.380
131   88  219 Ra    219010084.715       7.315
130   89  219 Ac    219012420.425      55.263
129   90  219 Th    219015526.432      60.611
128   91  219 Pa    219019949.909      74.831
127   92  219 U     219025009.233      14.319
126   93  219 Np    219031601.865      98.732
138   82  220 Pb    220025905#        429#
137   83  220 Bi    220022501#        322#
136   84  220 Po    220016386.000      19.000
135   85  220 At    220015433.000      15.000
134   86  220 Rn    220011392.443       1.947
133   87  220 Fr    220012326.789       4.324
132   88  220 Ra    220011027.542       8.153
131   89  220 Ac    220014754.527       6.579
130   90  220 Th    220015769.866      14.693
129   91  220 Pa    220021769.753      15.732
128   92  220 U     220024706#        108#
127   93  220 Np    220032716.280      32.977
138   83  221 Bi    221025980#        322#
137   84  221 Po    221021228.000      21.000
136   85  221 At    221018017.000      15.000
135   86  221 Rn    221015535.637       6.134
134   87  221 Fr    221014253.714       5.245
133   88  221 Ra    221013917.293       4.970
132   89  221 Ac    221015599.721      61.086
131   90  221 Th    221018185.757       8.582
130   91  221 Pa    221021873.393      63.746
129   92  221 U     221026323.297      77.440
128   93  221 Np    221032110#        215#
127   94  221 Pu    221038572#        322#
139   83  222 Bi    222031079#        322#
138   84  222 Po    222024140.000      43.000
137   85  222 At    222022494.000      17.000
136   86  222 Rn    222017576.017       2.086
135   87  222 Fr    222017582.615       8.000
134   88  222 Ra    222015373.371       4.781
133   89  222 Ac    222017844.232       5.044
132   90  222 Th    222018468.220      10.966
131   91  222 Pa    222023687.064      92.975
130   92  222 U     222026057.957      55.817
129   93  222 Np    222033574.706      40.849
128   94  222 Pu    222037638#        322#
140   83  223 Bi    223034611#        429#
139   84  223 Po    223029070#        210#
138   85  223 At    223025151.000      15.000
137   86  223 Rn    223021889.283       8.397
136   87  223 Fr    223019734.241       2.073
135   88  223 Ra    223018500.648       2.243
134   89  223 Ac    223019135.982       7.457
133   90  223 Th    223020811.083       8.527
132   91  223 Pa    223023980.414      81.193
131   92  223 U     223027960.754      63.396
130   93  223 Np    223032913.340      88.956
129   94  223 Pu    223038777#        322#
128   95  223 Am    223045840#        322#
141   83  224 Bi    224039796#        429#
140   84  224 Po    224032110#        210#
139   85  224 At    224029749.000      24.000
138   86  224 Rn    224024095.803      10.536
137   87  224 Fr    224023348.096      12.000
136   88  224 Ra    224020210.361       1.944
135   89  224 Ac    224021722.249       4.389
134   90  224 Th    224021466.137      10.310
133   91  224 Pa    224025617.286       8.145
132   92  224 U     224027635.913      16.383
131   93  224 Np    224034388.030      31.052
130   94  224 Pu    224037875#        322#
129   95  224 Am    224046442#        429#
141   84  225 Po    225037123#        322#
140   85  225 At    225032528#        322#
139   86  225 Rn    225028485.572      11.958
138   87  225 Fr    225025572.466      12.847
137   88  225 Ra    225023610.502       2.786
136   89  225 Ac    225023228.601       5.107
135   90  225 Th    225023950.975       5.467
134   91  225 Pa    225026147.927      87.887
133   92  225 U     225029385.050      10.664
132   93  225 Np    225033943.422      98.355
131   94  225 Pu    225038970#        322#
130   95  225 Am    225045508#        429#
142   84  226 Po    226040310#        430#
141   85  226 At    226037209#        322#
140   86  226 Rn    226030861.380      11.247
139   87  226 Fr    226029544.512       6.688
138   88  226 Ra    226025408.186       2.068
137   89  226 Ac    226026096.999       3.327
136   90  226 Th    226024903.699       4.810
135   91  226 Pa    226027948.217      12.037
134   92  226 U     226029338.669      11.884
133   93  226 Np    226035230.364     109.568
132   94  226 Pu    226038250#        215#
131   95  226 Am    226046130#        322#
143   84  227 Po    227045390#        430#
142   85  227 At    227040183#        322#
141   86  227 Rn    227035304.393      15.127
140   87  227 Fr    227031865.413       6.332
139   88  227 Ra    227029176.205       2.089
138   89  227 Ac    227027750.594       2.068
137   90  227 Th    227027702.546       2.241
136   91  227 Pa    227028803.586       7.797
135   92  227 U     227031181.124       9.136
134   93  227 Np    227034975.012      82.651
133   94  227 Pu    227039474#        107#
132   95  227 Am    227045282#        215#
143   85  228 At    228044960#        429#
142   86  228 Rn    228037835.415      18.977
141   87  228 Fr    228035839.433       7.226
140   88  228 Ra    228031068.574       2.141
139   89  228 Ac    228031019.685       2.247
138   90  228 Th    228028739.741       1.938
137   91  228 Pa    228031050.758       4.659
136   92  228 U     228031368.959      14.465
135   93  228 Np    228036313#        108#
134   94  228 Pu    228038763.325      25.069
133   95  228 Am    228046001#        215#
144   85  229 At    229048191#        429#
143   86  229 Rn    229042257.272      14.000
142   87  229 Fr    229038291.443       5.368
141   88  229 Ra    229034956.703      16.576
140   89  229 Ac    229032947.000      13.000
139   90  229 Th    229031761.357       2.581
138   91  229 Pa    229032095.585       3.521
137   92  229 U     229033505.976       6.374
136   93  229 Np    229036287.269     108.618
135   94  229 Pu    229040145.099      65.092
134   95  229 Am    229045282.534     114.169
144   86  230 Rn    230045271#        215#
143   87  230 Fr    230042390.787       7.022
142   88  230 Ra    230037054.776      11.053
141   89  230 Ac    230036327.000      17.000
140   90  230 Th    230033132.267       1.297
139   91  230 Pa    230034539.717       3.261
138   92  230 U     230033940.114       4.841
137   93  230 Np    230037828.060      59.051
136   94  230 Pu    230039648.313      15.514
135   95  230 Am    230046025#        153#
145   86  231 Rn    231049973#        322#
144   87  231 Fr    231045175.353       8.300
143   88  231 Ra    231041027.085      12.206
142   89  231 Ac    231038393.000      14.000
141   90  231 Th    231036302.764       1.306
140   91  231 Pa    231035882.500       1.901
139   92  231 U     231036292.180       2.866
138   93  231 Np    231038243.598      54.916
137   94  231 Pu    231041125.946      23.683
136   95  231 Am    231045529#        322#
135   96  231 Cm    231050746#        322#
145   87  232 Fr    232049461.219      15.000
144   88  232 Ra    232043475.267       9.823
143   89  232 Ac    232042034.000      14.000
142   90  232 Th    232038053.606       1.525
141   91  232 Pa    232038590.205       8.206
140   92  232 U     232037154.765       1.941
139   93  232 Np    232040107#        107#
138   94  232 Pu    232041182.133      18.126
137   95  232 Am    232046613#        322#
136   96  232 Cm    232049740#        216#
146   87  233 Fr    233052517.833      21.000
145   88  233 Ra    233047594.570       9.235
144   89  233 Ac    233044346.000      14.000
143   90  233 Th    233041580.126       1.528
142   91  233 Pa    233040246.535       1.433
141   92  233 U     233039634.294       2.420
140   93  233 Np    233040739.421      54.729
139   94  233 Pu    233042997.411      58.162
138   95  233 Am    233046468#        123#
137   96  233 Cm    233050771.485      87.059
136   97  233 Bk    233056652#        250#
146   88  234 Ra    234050382.100       9.000
145   89  234 Ac    234048139.000      15.000
144   90  234 Th    234043599.801       2.779
143   91  234 Pa    234043305.555       4.395
142   92  234 U     234040950.296       1.212
141   93  234 Np    234042893.245       9.014
140   94  234 Pu    234043317.489       7.298
139   95  234 Am    234047731#        172#
138   96  234 Cm    234050158.568      18.333
137   97  234 Bk    234057322#        164#
147   88  235 Ra    235054890#        322#
146   89  235 Ac    235050840.000      15.000
145   90  235 Th    235047255.000      14.000
144   91  235 Pa    235045399.000      15.000
143   92  235 U     235043928.117       1.198
142   93  235 Np    235044061.518       1.490
141   94  235 Pu    235045284.609      22.030
140   95  235 Am    235047906.478      56.661
139   96  235 Cm    235051545#        110#
138   97  235 Bk    235056651#        430#
147   89  236 Ac    236054988.000      41.000
146   90  236 Th    236049657.000      15.000
145   91  236 Pa    236048668.000      15.000
144   92  236 U     236045566.130       1.193
143   93  236 Np    236046568.296      54.129
142   94  236 Pu    236046056.661       1.942
141   95  236 Am    236049427#        127#
140   96  236 Cm    236051372.112      18.931
139   97  236 Bk    236057479#        387#
148   89  237 Ac    237057993#        429#
147   90  237 Th    237053629.000      17.000
146   91  237 Pa    237051023.000      14.000
145   92  237 U     237048728.309       1.290
144   93  237 Np    237048171.640       1.201
143   94  237 Pu    237048407.888       1.821
142   95  237 Am    237049995#         64#
141   96  237 Cm    237052868.988      79.870
140   97  237 Bk    237057123#        247#
139   98  237 Cf    237062199.272     104.506
148   90  238 Th    238056388#        304#
147   91  238 Pa    238054637.000      17.000
146   92  238 U     238050786.936       1.601
145   93  238 Np    238050944.603       1.220
144   94  238 Pu    238049558.175       1.221
143   95  238 Am    238051982.531      63.243
142   96  238 Cm    238053081.606      13.133
141   97  238 Bk    238058204#        275#
140   98  238 Cf    238061490#        320#
149   90  239 Th    239060655#        429#
148   91  239 Pa    239057260#        210#
147   92  239 U     239054291.989       1.612
146   93  239 Np    239052937.538       1.406
145   94  239 Pu    239052161.596       1.194
144   95  239 Am    239053022.729       2.127
143   96  239 Cm    239054908.519     161.107
142   97  239 Bk    239058239#        222#
141   98  239 Cf    239062482#        129#
140   99  239 Es    239068310#        322#
149   91  240 Pa    240061203#        215#
148   92  240 U     240056592.411       2.740
147   93  240 Np    240056163.778      18.284
146   94  240 Pu    240053811.740       1.186
145   95  240 Am    240055298.374      14.849
144   96  240 Cm    240055528.233       2.045
143   97  240 Bk    240059758#        161#
142   98  240 Cf    240062253.447      19.360
141   99  240 Es    240068949#        393#
150   91  241 Pa    241064134#        322#
149   92  241 U     241060330#        210#
148   93  241 Np    241058309.671     107.360
147   94  241 Pu    241056849.651       1.186
146   95  241 Am    241056827.343       1.195
145   96  241 Cm    241057651.218       1.725
144   97  241 Bk    241060098#        178#
143   98  241 Cf    241063690#        180#
142   99  241 Es    241068592#        248#
141  100  241 Fm    241074311#        322#
150   92  242 U     242062931#        215#
149   93  242 Np    242061639.548     214.712
148   94  242 Pu    242058740.979       1.336
147   95  242 Am    242059547.358       1.199
146   96  242 Cm    242058834.187       1.224
145   97  242 Bk    242061999#        144#
144   98  242 Cf    242063754.544      13.840
143   99  242 Es    242069567#        276#
142  100  242 Fm    242073430#        430#
151   92  243 U     243067075#        322#
150   93  243 Np    243064204#         34#
149   94  243 Pu    243062002.068       2.728
148   95  243 Am    243061379.889       1.490
147   96  243 Cm    243061387.329       1.605
146   97  243 Bk    243063005.905       4.856
145   98  243 Cf    243065475#        194#
144   99  243 Es    243069508#        222#
143  100  243 Fm    243074414#        140#
151   93  244 Np    244067891#        107#
150   94  244 Pu    244064204.401       2.518
149   95  244 Am    244064282.892       1.600
148   96  244 Cm    244062750.622       1.187
147   97  244 Bk    244065178.969      15.457
146   98  244 Cf    244065999.447       2.809
145   99  244 Es    244070881#        195#
144  100  244 Fm    244074036#        216#
143  101  244 Md    244081157#        402#
152   93  245 Np    245070693#        215#
151   94  245 Pu    245067824.554      14.621
150   95  245 Am    245066452.827       2.024
149   96  245 Cm    245065491.047       1.233
148   97  245 Bk    245066359.814       1.923
147   98  245 Cf    245068046.755       2.606
146   99  245 Es    245071192#        178#
145  100  245 Fm    245075354#        210#
144  101  245 Md    245080864#        279#
152   94  246 Pu    246070204.172      16.087
151   95  246 Am    246069774#         19#
150   96  246 Cm    246067222.016       1.637
149   97  246 Bk    246068671.300      64.433
148   98  246 Cf    246068803.685       1.625
147   99  246 Es    246072806.474      96.538
146  100  246 Fm    246075353.334      14.675
145  101  246 Md    246081713#        279#
153   94  247 Pu    247074300#        215#
152   95  247 Am    247072092#        107#
151   96  247 Cm    247070352.678       4.076
150   97  247 Bk    247070305.889       5.570
149   98  247 Cf    247070971.348      15.380
148   99  247 Es    247073621.929      20.870
147  100  247 Fm    247076944#        194#
146  101  247 Md    247081520#        223#
153   95  248 Am    248075752#        215#
152   96  248 Cm    248072349.086       2.531
151   97  248 Bk    248073141.689      53.739
150   98  248 Cf    248072182.905       5.497
149   99  248 Es    248075469#         56#
148  100  248 Fm    248077185.451       9.122
147  101  248 Md    248082607#        198#
146  102  248 No    248086623#        241#
154   95  249 Am    249078480#        320#
153   96  249 Cm    249075953.992       2.545
152   97  249 Bk    249074983.118       1.339
151   98  249 Cf    249074850.428       1.269
150   99  249 Es    249076409#         32#
149  100  249 Fm    249078926.042       6.668
148  101  249 Md    249082857.155     176.516
147  102  249 No    249087802#        300#
154   96  250 Cm    250078357.541      11.029
153   97  250 Bk    250078317.195       3.110
152   98  250 Cf    250076404.494       1.650
151   99  250 Es    250078611#        107#
150  100  250 Fm    250079519.765       8.468
149  101  250 Md    250084164.934      97.606
148  102  250 No    250087565#        215#
155   96  251 Cm    251082284.988      24.367
154   97  251 Bk    251080760.555      11.523
153   98  251 Cf    251079587.171       4.187
152   99  251 Es    251079991.431       5.676
151  100  251 Fm    251081545.130      15.342
150  101  251 Md    251084774.287      20.310
149  102  251 No    251088942#        194#
148  103  251 Lr    251094289#        215#
156   96  252 Cm    252084870#        320#
155   97  252 Bk    252084310#        215#
154   98  252 Cf    252081626.507       2.531
153   99  252 Es    252082979.173      53.736
152  100  252 Fm    252082466.019       5.604
151  101  252 Md    252086385.000      98.000
150  102  252 No    252088966.070       9.975
149  103  252 Lr    252095048#        198#
156   97  253 Bk    253086880#        385#
155   98  253 Cf    253085133.723       4.570
154   99  253 Es    253084821.241       1.341
153  100  253 Fm    253085180.945       1.662
152  101  253 Md    253087143#         34#
151  102  253 No    253090562.780       7.420
150  103  253 Lr    253095033.850     176.634
149  104  253 Rf    253100528#        440#
157   97  254 Bk    254090600#        320#
156   98  254 Cf    254087323.575      12.304
155   99  254 Es    254088024.337       3.152
154  100  254 Fm    254086852.424       1.978
153  101  254 Md    254089590#        107#
152  102  254 No    254090954.211      10.367
151  103  254 Lr    254096238.813      98.026
150  104  254 Rf    254100055#        304#
157   98  255 Cf    255091046#        215#
156   99  255 Es    255090273.504      11.612
155  100  255 Fm    255089963.495       4.223
154  101  255 Md    255091081.702       5.976
153  102  255 No    255093196.439      15.079
152  103  255 Lr    255096562.399      19.000
151  104  255 Rf    255101267#        194#
150  105  255 Db    255106919#        304#
158   98  256 Cf    256093442#        338#
157   99  256 Es    256093597#        107#
156  100  256 Fm    256091771.699       3.241
155  101  256 Md    256093888#        133#
154  102  256 No    256094281.912       8.103
153  103  256 Lr    256098494.024      89.000
152  104  256 Rf    256101151.464      19.160
151  105  256 Db    256107674#        201#
158   99  257 Es    257095979#        441#
157  100  257 Fm    257095105.419       4.669
156  101  257 Md    257095537.343       1.683
155  102  257 No    257096884.203       6.652
154  103  257 Lr    257099480#         47#
153  104  257 Rf    257102916.796      11.612
152  105  257 Db    257107520.042     176.741
159   99  258 Es    258099520#        430#
158  100  258 Fm    258097077#        215#
157  101  258 Md    258098433.634       3.729
156  102  258 No    258098205#        107#
155  103  258 Lr    258101753#        109#
154  104  258 Rf    258103429.895      17.288
153  105  258 Db    258108972.995      98.613
152  106  258 Sg    258113040#        443#
159  100  259 Fm    259100596#        304#
158  101  259 Md    259100445#        108#
157  102  259 No    259100998.364       6.829
156  103  259 Lr    259102900#         76#
155  104  259 Rf    259105601#         78#
154  105  259 Db    259109491.859      60.854
153  106  259 Sg    259114353#        194#
160  100  260 Fm    260102809#        467#
159  101  260 Md    260103650#        339#
158  102  260 No    260102641#        215#
157  103  260 Lr    260105504#        134#
156  104  260 Rf    260106440#        215#
155  105  260 Db    260111297#        100#
154  106  260 Sg    260114383.435      22.045
153  107  260 Bh    260121443#        211#
160  101  261 Md    261105828#        546#
159  102  261 No    261105696#        215#
158  103  261 Lr    261106879#        215#
157  104  261 Rf    261108769.591      70.492
156  105  261 Db    261111979#        118#
155  106  261 Sg    261115948.135      19.853
154  107  261 Bh    261121395.733     193.026
161  101  262 Md    262109144#        481#
160  102  262 No    262107463#        387#
159  103  262 Lr    262109615#        215#
158  104  262 Rf    262109923#        240#
157  105  262 Db    262114067#        154#
156  106  262 Sg    262116338.978      23.797
155  107  262 Bh    262122654.688      99.919
161  102  263 No    263110714#        526#
160  103  263 Lr    263111293#        240#
159  104  263 Rf    263112461#        164#
158  105  263 Db    263114987#        180#
157  106  263 Sg    263118299#        101#
156  107  263 Bh    263122916#        328#
155  108  263 Hs    263128479#        212#
162  102  264 No    264112734#        634#
161  103  264 Lr    264114198#        468#
160  104  264 Rf    264113876#        387#
159  105  264 Db    264117297#        253#
158  106  264 Sg    264118930#        304#
157  107  264 Bh    264124486#        190#
156  108  264 Hs    264128356.330      31.005
162  103  265 Lr    265116193#        587#
161  104  265 Rf    265116683#        387#
160  105  265 Db    265118500#        240#
159  106  265 Sg    265121089#        149#
158  107  265 Bh    265124955#        257#
157  108  265 Hs    265129791.744      25.719
156  109  265 Mt    265135937#        471#
163  103  266 Lr    266119874#        579#
162  104  266 Rf    266118236#        443#
161  105  266 Db    266121032#        304#
160  106  266 Sg    266121973#        263#
159  107  266 Bh    266126790#        175#
158  108  266 Hs    266130048.783      29.099
157  109  266 Mt    266137062.253     103.568
163  104  267 Rf    267121787#        617#
162  105  267 Db    267122399#        402#
161  106  267 Sg    267124323#        281#
160  107  267 Bh    267127499#        282#
159  108  267 Hs    267131678#        102#
158  109  267 Mt    267137189#        540#
157  110  267 Ds    267143726#        219#
164  104  268 Rf    268123968#        711#
163  105  268 Db    268125669#        568#
162  106  268 Sg    268125389#        504#
161  107  268 Bh    268129584#        410#
160  108  268 Hs    268132011#        322#
159  109  268 Mt    268138649#        250#
158  110  268 Ds    268143477#        324#
164  105  269 Db    269127911#        669#
163  106  269 Sg    269128495#        395#
162  107  269 Bh    269130411#        402#
161  108  269 Hs    269133649#        141#
160  109  269 Mt    269138809#        335#
159  110  269 Ds    269144750.965      33.712
165  105  270 Db    270131399#        617#
164  106  270 Sg    270130362#        492#
163  107  270 Bh    270133366#        320#
162  108  270 Hs    270134313#        266#
161  109  270 Mt    270140322#        205#
160  110  270 Ds    270144586.620      42.163
165  106  271 Sg    271133782#        634#
164  107  271 Bh    271135115#        412#
163  108  271 Hs    271137082#        296#
162  109  271 Mt    271140741#        354#
161  110  271 Ds    271145951#        104#
166  106  272 Sg    272135825#        743#
165  107  272 Bh    272138259#        571#
164  108  272 Hs    272138492#        547#
163  109  272 Mt    272143298#        521#
162  110  272 Ds    272146091#        456#
161  111  272 Rg    272153273#        251#
167  106  273 Sg    273139475#        429#
166  107  273 Bh    273140294#        703#
165  108  273 Hs    273141458#        401#
164  109  273 Mt    273144695#        455#
163  110  273 Ds    273148455#        152#
162  111  273 Rg    273153393#        429#
167  107  274 Bh    274143599#        620#
166  108  274 Hs    274143217#        504#
165  109  274 Mt    274147343#        404#
164  110  274 Ds    274149434#        418#
163  111  274 Rg    274155247#        225#
168  107  275 Bh    275145766#        644#
167  108  275 Hs    275146530#        637#
166  109  275 Mt    275148972#        416#
165  110  275 Ds    275152085#        366#
164  111  275 Rg    275156088#        479#
169  107  276 Bh    276149169#        644#
168  108  276 Hs    276148348#        773#
167  109  276 Mt    276151705#        571#
166  110  276 Ds    276153022#        588#
165  111  276 Rg    276158226#        675#
164  112  276 Cn    276161418#        537#
170  107  277 Bh    277151477#        644#
169  108  277 Hs    277151772#        480#
168  109  277 Mt    277153525#        711#
167  110  277 Ds    277155763#        421#
166  111  277 Rg    277159322#        504#
165  112  277 Cn    277163535#        165#
171  107  278 Bh    278154988#        429#
170  108  278 Hs    278153753#        322#
169  109  278 Mt    278156487#        621#
168  110  278 Ds    278157007#        548#
167  111  278 Rg    278161590#        417#
166  112  278 Cn    278164083#        470#
165  113  278 Nh    278170725#        240#
171  108  279 Hs    279157274#        644#
170  109  279 Mt    279158439#        720#
169  110  279 Ds    279159984#        649#
168  111  279 Rg    279162880#        453#
167  112  279 Cn    279166422#        424#
166  113  279 Nh    279171187#        644#
172  108  280 Hs    280159335#        644#
171  109  280 Mt    280161579#        644#
170  110  280 Ds    280161375#        803#
169  111  280 Rg    280165204#        571#
168  112  280 Cn    280167102#        626#
167  113  280 Nh    280173098#        429#
172  109  281 Mt    281163608#        644#
171  110  281 Ds    281164545#        529#
170  111  281 Rg    281166757#        831#
169  112  281 Cn    281169563#        427#
168  113  281 Nh    281173710#        322#
173  109  282 Mt    282166888#        480#
172  110  282 Ds    282166174#        322#
171  111  282 Rg    282169343#        631#
170  112  282 Cn    282170507#        588#
169  113  282 Nh    282175770#        430#
173  110  283 Ds    283169437#        537#
172  111  283 Rg    283171101#        728#
171  112  283 Cn    283173202#        660#
170  113  283 Nh    283176666#        469#
174  110  284 Ds    284171187#        537#
173  111  284 Rg    284173882#        537#
172  112  284 Cn    284174360#        819#
171  113  284 Nh    284178843#        573#
170  114  284 Fl    284181192#        704#
174  111  285 Rg    285175771#        644#
173  112  285 Cn    285177227#        544#
172  113  285 Nh    285180106#        832#
171  114  285 Fl    285183503#        433#
175  111  286 Rg    286178756#        492#
174  112  286 Cn    286178691#        751#
173  113  286 Nh    286182456#        634#
172  114  286 Fl    286184226#        590#
175  112  287 Cn    287181826#        751#
174  113  287 Nh    287184064#        759#
173  114  287 Fl    287186720#        663#
172  115  287 Mc    287190820#        475#
176  112  288 Cn    288183501#        751#
175  113  288 Nh    288186764#        751#
174  114  288 Fl    288187781#        819#
173  115  288 Mc    288192879#        575#
176  113  289 Nh    289188461#        537#
175  114  289 Fl    289190517#        548#
174  115  289 Mc    289193971#        834#
173  116  289 Lv    289198023#        540#
177  113  290 Nh    290191429#        503#
176  114  290 Fl    290191875#        752#
175  115  290 Mc    290196235#        635#
174  116  290 Lv    290198635#        593#
177  114  291 Fl    291194848#        751#
176  115  291 Mc    291197725#        789#
175  116  291 Lv    291201014#        669#
